Year,10th Marks,12th Marks,12th Division,Rank,College
2018,81,94,2,283,PONDA EDUCATION SOCIETYS RAJARAM AND TARABAI BANDEKAR COLLEGE OF PHARMACY
2018,89,93,3,570,OYSTER INSTITUTE OF PHARMACY
2018,93,89,4,3654,SARASWATHI VIDYA BHAVAN`S COLLEGE OF PHARMACY
2018,89,90,1,3789,HON.SHRI BABANRAO PACHPUTE VICHARDHARA TRUST'S GROUP OF INSTITUTIONS
2018,93,81,1,4568,SVNHT'S COLLEGE OF B.PHARMACY
2018,91,85,3,3000,BAJIRAOJI KARANJEKAR COLLEGE OF PHARMACY
2018,87,89,5,4658,VIVEKANAND EDUCATION SOCIETY'S COLLEGE OF PHARMACY
2018,94,76,1,9878,LATE NARAYANDAS BHAWANDAS CHHABADA INSTITUTE OF PHARAMCY (DEGREE)
2018,94,81,6,3512,AISSMS COLLEGE OF PHARMACY
2018,91,75,1,3415,GURUNANAK COLLEGE OF PHARMACY
2018,81,75,5,3256,J.E.S'S COLLEGE OF PHARMACY
2018,89,84,4,3264,IDEAL COLLEGE OF PHARMACY AND RESEARCH
2018,81,75,2,7562,MAHARASHTRA COLLEGE OF PHARMACY
2018,89,81,6,93,SHIVLINGESHWAR COLLEGE OF PHARMACY
2018,94,84,1,3214,NCRD'S STERLING INSTITUTE OF PHARMACY
2018,84,88,1,5400,"GOVERNMENT COLLEGE OF PHARMACY,RATNAGIRI"
2018,85,82,7,3210,RAJARSHI SHAHU COLLEGE OF PHARMACY
2018,81,89,5,1752,SHRI BALAJI SHIKSHAN PRASARAK MANDAL'S B.PHARMACY COLLEGE
2018,94,94,6,2547,"MAHATMA GANDHI VIDYAMANDIR'S PHARMACY COLLEGE, PANCHAVATI, NASHIK-3"
2018,93,91,5,2388,ALI-ALLANA COLLLEGE OF PHARMACY
2018,92,84,4,2654,RAJMATA JIJAU SHIKSHAN PRASARAK MANDAL'S COLLEGE OF PHARMACY
2018,94,89,8,2000,DAYANAND EDUCATION SOCIETY'S DAYANAND COLLEGE OF PHARMACY
2018,89,89,1,3124,SIDDHANT COLLGE OF PHARMACY
2018,85,89,5,2954,RAJGAD DNYANPEETH'S COLLEGE OF PHARMACY
2018,81,88,4,3620,"BHARATI VIDYAPEETH COLLEGE OF PHARMACY, KOLHAPUR"
2018,94,94,5,4520,HUMERA KHAN COLLEGE OF PHARMACY
2018,93,85,2,3520,"VIDYABHARATI COLLEGE OF PHARMACY, AMRAVATI"
2018,92,89,6,5230,SUDHAKARRAO NAIK INSTITUTE OF PHARMACY
2018,94,94,2,5826,MATOSHRI COLLEGE OF PHARMACY
2018,89,94,1,90,PRES'S COLLEGE OF PHARMACY (FOR WOMEN)
2018,95,86,9,985,SANDIP INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,80,89,6,854,SANT GAJANAN MAHARAJ COLLEGE OF PHARMACY
2018,86,87,8,1232,YADAVRAO TASGAONKAR INSTITUTE OF PHARMACY
2018,85,88,6,3201,ROYAL COLLEGE OF PHARMACEUTICAL EDUCATION & RESEARCH
2018,94,93,1,2215,K.B.H.S.S.TRUST'S INSTITUTE OF PHARMACY
2018,84,91,5,2956,"SMT.SHARADCHANDRIKA SURESH PATIL COLLEGE OF PHARMACY, CHOPDA"
2018,94,86,5,3965,RMP'S BHALCHANDRA COLLEGE OF PHARMACY
2018,76,81,5,3562,"KCT'S RAVINDRA GAMBHIRRAO SAPKAL COLLEGE OF PHARMACY, ANJANERI,WADHOLI TAL-TRIMBAK, NASHIK"
2018,81,89,4,4512,INSTITUTE OF CHEMICAL TECHNOLOGY
2018,84,92,2,5123,S.M.B.T. COLLEGE OF PHARMACY
2018,82,94,6,6845,"COLLEGE OF PHARMACY, KORADI"
2018,93,85,2,3520,YAVATMAL ZILLA VIKAS SAMITI'S PATALDHAMAL WADHWANI COLLEGE OF PHARMACY
2018,92,89,6,5230,"KONKAN GYANPEETH RAHUL DHARKAR COLLEGE OF PHARMACY AND RESEARCH INSTITUTE,KARJAT"
2018,94,94,2,5826,ALARD COLLEGE OF PHARMACY
2018,89,94,1,90,"SAHYADRI SHIKSHAN SANSTHA, COLLEGE OF PHARMACY"
2018,95,86,9,985,JAYAWANT SHIKSHAN PRASARAK MANDAL'S CHARAK COLLEGE OF PHARMACY & RESEARCH
2018,80,89,6,854,MET'S INSTITUTE OF PHARMACY
2018,86,87,8,1232,ANJUMAN-I-ISLAM'S KALSEKAR TECHNICAL CAMPUS
2018,85,88,6,3201,ABHINAV EDUCATION SOCIETY'S COLLEGE OF  PHARMACY
2018,94,93,1,2215,DADASAHEB BALPANDE COLLEGE OF PHARMACY
2018,94,89,8,2000,"SINHGAD INSTITUTE OF PHARMACEUTICAL SCIENCES, LONAVALA"
2018,89,89,1,3124,DR. L. H. HIRANANDANI COLLEGE OF PHARMACY
2018,85,89,5,2954,JAYAWANTRAO SAWANT COLLEGE OF PHARMACY & RESEARCH
2018,81,88,4,3620,SONEKAR COLLEGE OF PHARMACY
2018,94,94,5,4520,"SANJIVANI COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH, KOPARGAON"
2018,93,85,2,3520,POONA DISTRICT EDUCATION ASSOCIATION’S SETH GOVIND RAGHUNATH SABLE COLLEGE OF PHARMACY
2018,92,89,6,5230,POONA DISTRICT EDUCATION ASSOCIATION'S  SHANKARRAO URSAL COLLEGE OF PHARMACEUTICAL SCIENCES AND RESEARCH CENTRE
2018,94,94,2,5826,SMT. KASHIBAI NAVALE COLLEGE OF PHARMACY
2018,89,94,1,90,SHREE SANTKRUPA COLLEGE OF PHARMACY
2018,95,86,9,985,P.S.G.V.P.MANDAL'S COLLEGE OF PHARMACY
2018,80,89,6,854,"ASPM'S K. T. PATIL COLLEGE OF PHARMACY, OSMANABAD."
2018,86,87,8,1232,COLLEGE OF PHARMACY
2018,85,88,6,3201,ORIENTAL  COLLEGE OF PHARMACY
2018,94,93,1,2215,VILASRAO DESHMUKH FOUNDATION GROUP OF INSTITUTIONS
2018,94,89,8,2000,H.R.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
2018,89,89,1,3124,"MULA EDUCATION SOCIETY'S COLLEGE OF PHARMACY,SONAI."
2018,85,89,5,2954,"AMRUTVAHINI COLLEGE OF PHARMACY, SANGAMNER"
2018,81,88,4,3620,"DR.VEDPRAKASH PATIL PHARMACY COLLEGE,GEORI TANDA, AURANGABAD."
2018,94,94,5,4520,ARVIND GAVALI COLLEGE OF PHARMACY
2018,93,85,2,3520,LOKNETE DR. J. D. PAWAR COLLEGE OF PHARMACY
2018,93,89,4,3654,PRAVARA RURAL COLLEGE OF PHARMACY
2018,89,90,1,3789,PADM.DR.D.Y.PATIL COLLEGE OF PHARMACY
2018,93,81,1,4568,"SHREE WARANA VIBHAG SHIKSHAN MANDAL'S  TATYASAHEB KORE COLLEGE OF PHARMACY, WARANANAGAR"
2018,91,85,3,3000,VIVA INSTITUTE OF PHARMACY
2018,87,89,5,4658,KAMLA NEHRU COLLEGE OF PHARMACY
2018,94,76,1,9878,"NASHIK GRAMIN SHIKSHAN PRASARAK MANDALS COLLEGE OF PHARMACY, ANJANERI, NASHIK-422 213"
2018,94,81,6,3512,M.G.V.'S S.P.H. COLLEGE OF PHARMACY
2018,91,75,1,3415,YASHODA TECHNICAL CAMPUS SATARA
2018,81,75,5,3256,GAHLOT INSTITUTE OF PHARMACY
2018,89,84,4,3264,"SPM'S COLLEGE OF PHARMACY, MALEWADI, SANGOLA ROAD AKLUJ."
2018,81,75,2,7562,SVKM'S DR. BHANUBEN NANAVATI COLLEGE OF PHARMACY
2018,89,81,6,93,SHIVAJIRAO S JONDHLE COLLEGE OF PHARMACY
2018,94,84,1,3214,MARATHWADA MITRA MANDAL'S COLLEGE OF PHARMACY
2018,84,88,1,5400,INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
2018,85,82,7,3210,"SAHYADRI COLLEGE OF PHARMACY, METHWADE"
2018,81,89,5,1752,SNJB'S SHRIMAN SURESHDADA JAIN COLLEGE OF PHARMACY
2018,94,94,6,2547,AGNIHOTRI COLLEGE OF PHARMACY
2018,93,91,5,2388,"KVPS, INSTITUTE OF PHARMACEUTICAL EDUCATION, BORADI"
2018,92,84,4,2654,SHREE CHANAKYA EDUCATION SOCIETY'S INDIRA COLLEGE OF PHARMACY
2018,94,89,8,2000,SHELLINO EDUCATION SOCIETY'S ARUNAMAI COLLEGE OF PHARMACY
2018,89,89,1,3124,SHREE SAINATH COLLEGE OF PHARMACY
2018,85,89,5,2954,"PES MODERN COLLEGE OF PHARMACY (FOR LADIES),MOSHI, PUNE."
2018,81,88,4,3620,GENBA SOPANRAO MOZE COLLEGE OF PHARMACY
2018,94,94,5,4520,SVKM'S NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES
2018,93,85,2,3520,SHARADCHANDRA PAWAR COLLEGE PHARMACY
2018,92,89,6,5230,VISHAL JUNNAR SEVA MANDAL'S VISHAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
2018,94,94,2,5826,RAJARSHI SHAHU COLLEGE OF PHARMACY AND RESEARCH
2018,89,94,1,90,KASTURI SHIKSHAN SANSTHAS COLLEGE OF PHARMACY
2018,95,86,9,985,"RAMCHANDRA SANSKRITIK KRIDA MANDAL'S, SHRI. R. D. BHAKT COLLEGE OF PHARMACY"
2018,80,89,6,854,INDIRA COLLEGE OF PHARMACY
2018,86,87,8,1232,"COLLEGE OF PHARMACY, MEDHA"
2018,85,88,6,3201,"SHREE SURESHDADA JAIN INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH, JAMNER"
2018,94,93,1,2215,INDIRA INSTITUTE OF PHARMACY
2018,84,91,5,2956,PRIYADARSHINI J. L. COLLEGE OF PHARMACY
2018,94,86,5,3965,BHARATI VIDYAPEETH'S COLLEGE OF PHARMACY
2018,76,81,5,3562,YASHWANTRAO BHONSALE COLLEGE OF PHARMACY
2018,81,89,4,4512,HI-TECH COLLEGE OF PHARMACY
2018,84,92,2,5123,LATUR COLLEGE OF PHARMACY
2018,82,94,6,6845,"COLLEGE OF PHARMACEUTICAL SCIENCES, BERHAMPUR"
2018,93,85,2,3520,R. C. PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH
2018,92,89,6,5230,COLUMBIA INSTITUTE OF PHARMACY
2018,94,94,2,5826,SHRI SARVAJANIK PHARMACY COLLEGE
2018,89,94,1,90,BABARIA INSTITUTE OF PHARMACY
2018,95,86,9,985,UJJAIN INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,80,89,6,854,SRI SATHYA SAI INSTITUTE OF PHARMACEUTICAL SCICENCES
2018,86,87,8,1232,RAVISHANKAR COLLEGE OF PHARMACY
2018,85,88,6,3201,LAKSHMI NARAIN COLLEGE OF PHARMACY
2018,94,93,1,2215,KANAK MANJARI INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,94,89,8,2000,SEEMANTA INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,89,89,1,3124,ROYAL COLLEGE OF PHARMACY AND HEALTH SCIENCES
2018,85,89,5,2954,GURU NANAK INSTITUTE OF PHARMACEUTICAL SCIENCE & TECHNOLOGY
2018,81,88,4,3620,NETAJI SUBHAS CHANDRA BOSE INSTITUTE OF PHARMACY
2018,94,94,5,4520,ST. ANN'S COLLEGE OF PHARMACY
2018,93,85,2,3520,NANDHA COLLEGE OF PHARMACY
2018,85,89,5,2954,PADMAVATHI COLLEGE OF PHARMACY
2018,81,88,4,3620,R.V.S COLLEGE OF PHARMACEUTICAL SCIENCES
2018,94,94,5,4520,C.L.BAID METHA COLLEGE OF PHARMACY
2018,93,85,2,3520,T M A E SOCIETY'S S C S COLLEGE OF PHARMACY
2018,92,89,6,5230,DAYANANDA SAGAR COLLEGE OF PHARMACY
2018,94,94,2,5826,HILLSIDE COLLEGE OF PHARMACY AND RESEARCH CENTRE
2018,89,94,1,90,K.L.E.SOCIETY'S COLLEGE OF PHARMACY
2018,95,86,9,985,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, MAHATMA GANDHI UNIVERSITY,CHERUVANDOOR CAMPUS."
2018,89,89,1,3124,JAMIA SALAFIYA PHARMACY COLLEGE
2018,85,89,5,2954,K.V.M. COLLEGE OF PHARMACY
2018,81,88,4,3620,ST. JOSEPH'S COLLEGE OF PHARMACY
2018,94,94,5,4520,"SGSPS, INSTITUTE OF PHARMACY"
2018,93,85,2,3520,SCSSS'S SITABAI THITE COLLEGE OF PHARMACY
2018,85,89,5,2954,ABASAHEB KAKADE COLLEGE OF B PHARMACY
2018,81,88,4,3620,MAHARASHTRA ACADEMY OF ENGINEERING & EDUCATIONAL RESEARCH'S MAHARASHTRA INSTITUTE OF PHARMACY
2018,94,94,5,4520,"YASH INSTITUTE OF PHARMACY, AURANGABAD."
2018,93,85,2,3520,SHRI FATTECHAND JAIN COLLEGE OF PHARMACY (B.PHARM)
2018,85,88,6,3201,MUMBAI EDUCATIONAL TRUST INSTITUTE OF PHARMACY DEGREE
2018,94,93,1,2215,GOKHALE EDUCATION SOCIETY'S SIR DR. M. S. GOSAVI COLLEGE OF PHARMACEUTICAL EDUCATION & RESEARCH
2018,84,91,5,2956,"MVP SAMAJ'S COLLEGE OF PHARMACY, NASHIK"
2018,94,86,5,3965,"P. E. SOCIETY'S MODERN COLLEGE OF PHARMACY, NIGDI, PUNE-44"
2018,76,81,5,3562,"SHRI VITHAL EDUCATION AND RESEARCH INSTITUTES'S COLLEGE OF PHARMACY, PANDHARPUR"
2018,81,89,4,4512,RUNGTA COLLEGE OF PHARMACEUTICAL SCIENCES & RESEARCH
2018,84,92,2,5123,KCT COLLEGE OF PHARMACY GULBARGA
2018,82,94,6,6845,D.S.T.S MANDAL'S COLLEGE OF PHAMACY
2018,93,85,2,3520,NANDED PHARMACY COLLEGE
2018,92,89,6,5230,UNIVERSITY INSTITUTE OF PHARMACY
2018,94,94,2,5826,ROYAL COLLEGE OF PHARMACY
2018,89,94,1,90,SMT. CHAMPABEN VASANTBHAI GAJERA PHARMACY MAHILA COLLEGE
2018,95,86,9,985,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, DR. H. S. GOUR VISHWAVIDYALAYA SAGAR MP"
2018,94,94,5,4520,MANDSAUR INSTITUTE OF PHARMACY
2018,93,85,2,3520,SHRI RAMNATH SINGH MAHAVIDALAYA (PHARMACY)
2018,85,89,5,2954,GUPTA COLLEGE OF TECHNOLOGICAL SCIENCES
2018,81,88,4,3620,MOTHER THERESA POST GRADUATE AND RESEARCH INSTITUTE OF HEALTH SCIENCES
2018,94,94,5,4520,SANKARALINGAM BHUVANESWARI COLLEGE OF PHARMACY
2018,93,85,2,3520,"SRI V.E.TRUSTS COLLEGE OF PHARMACY, HUMNABAD."
2018,85,88,6,3201,VIVEKANANADA COLLEGE OF PHARMACY
2018,94,93,1,2215,S.E.T'S COLLEGE OF PHARMACY
2018,84,91,5,2956,EAST POINT COLLEGE OF PHARMACY
2018,94,86,5,3965,AHALIA SCHOOL OF PHARAMCY
2018,85,89,5,2954,AMRITA SCHOOL OF PHARMACY
2018,81,88,4,3620,PRIN.K.M.KUNDNANI COLLEGE OF PHARMACY
2018,94,94,5,4520,CHANNABASWESHWAR PHARMACY COLLEGE ( DEGREE)
2018,93,85,2,3520,"INSTITUTE OF PHARMACY & TECHNOLOGY, SALIPUR"
2018,93,89,4,3654,"FACULTY OF PHARMACY, DHARMSINH DESAI UNIVERSITY"
2018,89,90,1,3789,INSTITUTE OF PROFESSIONAL STUDIES-COLLEGE OF PHARMACY
2018,93,81,1,4568,HI-TECH COLLEGE OF PHARMACY
2018,91,85,3,3000,RAHUL INSTITUTE OF PHARMACEUTICAL SCIENCES & RESEARCH
2018,87,89,5,4658,ARULMIGU KALASALINGAM COLLEGE OF PHARMACY
2018,94,76,1,9878,LUQMAN COLLEGE OF PHARMACY
2018,94,81,6,3512,THE DALE VIEW COLLEGE OF PHARMACY & RESEARCH CENTRE
2018,91,75,1,3415,GOVT. COLLEGE OF PHARMACEUTICAL SCIENCES
